,Player,Faction,Faction Detachment,Primary,Secondary,Unique Faction List,Chapter,ChapterDetachment,Unique Chapter List,Specialist Name,Pure List?,Wins,Losses,Draws,Games,Avg VP,Avg Oppon VP,Win Percentage,Pure Win Percentage,Games by Primary,Games by Secondary,Games Mono,Primary Wins,Primary Loss,Primary Draw,Win % By Faction,VP by Faction,Opp VP by Faction,Win % By Primary,Win % by Chapter,VP by Primary,Top List,ITC 100,Tournament,Missions,Ruleset,Date
1438,owen bissell,Blood Angels,1,,1.0,,Blood Angels,1,,,,3,3,0,6,26.5,24.166666666666668,0.5,,,6.0,,,,,,,,,,,No,,LVO,ITC,Fall FAQ,2020-01-24
1439,pascal roggen,Imperial Knights,1,1.0,,1.0,House Krast,1,1.0,,,3,3,0,6,24.83,25.5,0.5,,6.0,,,3.0,3.0,0.0,0.5,24.83,25.5,0.5,0.5,24.83,No,,LVO,ITC,Fall FAQ,2020-01-24
1440,pascal roggen,Blood Angels,1,,1.0,1.0,Blood Angels,1,1.0,,,3,3,0,6,24.83,25.5,0.5,,,6.0,,,,,0.5,24.83,25.5,,0.5,,No,,LVO,ITC,Fall FAQ,2020-01-24
1441,pascal roggen,Cult Mechanicus,1,,1.0,1.0,Graia,1,1.0,,,3,3,0,6,24.83,25.5,0.5,,,6.0,,,,,0.5,24.83,25.5,,0.5,,No,,LVO,ITC,Fall FAQ,2020-01-24
1442,patrick mcaneeny,White Scars,1,1.0,,1.0,White Scars,1,1.0,,Mono,4,1,1,6,30.5,22.0,0.75,0.75,6.0,,6.0,4.0,1.0,1.0,0.75,30.5,22.0,0.75,0.75,30.5,Yes,,LVO,ITC,Fall FAQ,2020-01-24
1443,patrick mcaneeny,White Scars,1,,1.0,,White Scars,1,,,,4,1,1,6,30.5,22.0,0.75,,,6.0,,,,,,,,,,,Yes,,LVO,ITC,Fall FAQ,2020-01-24
1444,patrick mcaneeny,Iron Hands,1,,1.0,,Iron Hands,1,1.0,,,4,1,1,6,30.5,22.0,0.75,,,6.0,,,,,,,,,0.75,,Yes,,LVO,ITC,Fall FAQ,2020-01-24
1445,patrick ruff,Asuryani,1,1.0,,1.0,Custom Craftworld,1,1.0,,Mono,0,2,1,3,27.333333333333332,31.333333333333332,0.16666666666666666,0.16666666666666666,3.0,,3.0,0.0,2.0,1.0,0.16666666666666666,27.333333333333332,31.333333333333332,0.16666666666666666,0.16666666666666666,27.333333333333332,No,,LVO,ITC,Fall FAQ,2020-01-24
1446,patrick ruff,Asuryani,1,,1.0,,Custom Craftworld,1,1.0,,,0,2,1,3,27.333333333333332,31.333333333333332,0.16666666666666666,,,3.0,,,,,,,,,0.16666666666666666,,No,,LVO,ITC,Fall FAQ,2020-01-24
1447,patrick ruff,Asuryani,1,,1.0,,Custom Craftworld,1,,,,0,2,1,3,27.333333333333332,31.333333333333332,0.16666666666666666,,,3.0,,,,,,,,,,,No,,LVO,ITC,Fall FAQ,2020-01-24
